customer_id,name,email,phone,age,purchase_amount,last_purchase,status,registration_date,age_group,purchase_category
63,Cliente 63,cliente63@example.com,(11) 962631083,23.0,722.0097604895412,2025-06-12,active,2025-01-25,18-25,Alto
64,Cliente 64,cliente64@example.com,(11) 918585377,25.0,236.17019391798573,2025-11-01,active,2025-08-27,18-25,Médio
65,Cliente 65,cliente65@example.com,(11) 996544585,40.0,996.3705768961745,2025-11-03,inactive,2025-04-24,36-50,Alto
66,Cliente 66,cliente66@example.com,(11) 995157821,64.0,975.0452305253153,2025-06-03,active,2025-10-31,51-65,Alto
67,Cliente 67,cliente67@example.com,(11) 997655395,43.0,653.8224294834675,2025-03-20,pending,2024-01-10,36-50,Alto
68,Cliente 68,cliente68@example.com,(11) 927824013,63.0,207.5470264198537,2025-07-18,active,2025-07-26,51-65,Médio
69,Cliente 69,cliente69@example.com,(11) 946601694,60.0,683.4259600069784,2025-01-13,pending,2024-04-06,51-65,Alto
70,Cliente 70,cliente70@example.com,(11) 977105583,29.0,81.47642488938409,2025-08-07,active,2024-01-29,26-35,Baixo
71,Cliente 71,cliente71@example.com,(11) 970304654,43.0,40.345977183748005,2025-10-27,inactive,2025-03-14,36-50,Baixo
72,Cliente 72,cliente72@example.com,(11) 944119117,30.0,265.10605962610157,2025-10-28,active,2024-08-18,26-35,Médio
73,Cliente 73,cliente73@example.com,(11) 946433622,57.0,467.99672717192317,2025-12-11,active,2024-10-22,51-65,Médio
74,Cliente 74,cliente74@example.com,(11) 999482491,79.0,869.5897803542967,2025-06-27,active,2024-07-24,65+,Alto
75,Cliente 75,cliente75@example.com,(11) 970031992,35.0,729.8973790686449,2025-08-26,inactive,2023-12-18,26-35,Alto
76,Cliente 76,cliente76@example.com,(11) 965105831,42.0,745.2794559879812,2025-11-23,active,2024-10-14,36-50,Alto
77,Cliente 77,N/A,(11) 913366612,50.0,431.2384011035946,2025-01-14,inactive,2024-10-31,36-50,Médio
78,Cliente 78,cliente78@example.com,(11) 968743503,64.0,352.4756426214933,2025-10-01,pending,2024-05-23,51-65,Médio
79,Cliente 79,cliente79@example.com,(11) 946258670,57.0,377.32837535475664,2025-08-25,active,2024-11-17,51-65,Médio
80,Cliente 80,cliente80@example.com,(11) 979739572,77.0,987.7730680986973,2025-03-19,inactive,2025-01-04,65+,Alto
81,Cliente 81,cliente81@example.com,(11) 965848857,49.0,49.708099498357655,2025-04-16,inactive,2024-04-07,36-50,Baixo
82,Cliente 82,cliente82@example.com,(11) 967055419,29.0,868.3611811612241,2025-02-14,active,2024-08-06,26-35,Alto
83,Cliente 83,cliente83@example.com,N/A,61.0,582.8886544866695,2025-09-13,pending,2025-06-03,51-65,Alto
84,Cliente 84,cliente84@example.com,(11) 978394024,53.0,444.22926499769454,2025-08-31,inactive,2024-07-31,51-65,Médio
85,Cliente 85,cliente85@example.com,(11) 974525468,65.0,728.0050838109852,2025-04-06,active,2023-12-31,51-65,Alto
86,Cliente 86,cliente86@example.com,(11) 999966606,21.0,491.80225201045585,2025-12-04,pending,2025-04-23,18-25,Médio
87,Cliente 87,cliente87@example.com,(11) 948727468,22.0,874.689005700844,2025-07-12,inactive,2025-04-29,18-25,Alto
88,Cliente 88,cliente88@example.com,(11) 961757120,49.0,901.6948453711459,2024-12-30,inactive,2024-12-06,36-50,Alto
89,Cliente 89,cliente89@example.com,(11) 977157848,54.0,427.50371760472086,2025-06-21,pending,2025-07-26,51-65,Médio
90,Cliente 90,cliente90@example.com,(11) 987897542,25.0,284.0595192627011,2025-01-03,pending,2025-07-16,18-25,Médio
91,Cliente 91,N/A,(11) 983665032,59.0,596.4268253074287,2025-07-07,active,2025-08-19,51-65,Alto
92,Cliente 92,cliente92@example.com,(11) 995390464,66.0,913.239712160524,2025-05-11,active,2024-09-18,65+,Alto
93,Cliente 93,cliente93@example.com,(11) 958170987,45.0,218.5555671156099,2025-06-18,inactive,2025-10-10,36-50,Médio
94,Cliente 94,cliente94@example.com,(11) 962562567,49.0,626.736917727848,2025-06-20,pending,2025-08-30,36-50,Alto
95,Cliente 95,cliente95@example.com,(11) 933717335,75.0,635.2446178915953,2025-01-06,pending,2024-02-13,65+,Alto
96,Cliente 96,cliente96@example.com,(11) 970472382,26.0,735.7818921911281,2025-01-08,pending,2025-03-14,26-35,Alto
97,Cliente 97,cliente97@example.com,(11) 922719242,71.0,140.2520082759872,2025-07-19,inactive,2025-12-06,65+,Médio
98,Cliente 98,cliente98@example.com,(11) 958715250,68.0,718.6667150352677,2025-01-22,pending,2025-07-18,65+,Alto
99,Cliente 99,cliente99@example.com,(11) 993139152,46.0,909.9421954589845,2025-07-04,pending,2025-06-11,36-50,Alto
100,Cliente 100,cliente100@example.com,N/A,31.0,187.88627778153955,2025-08-07,inactive,2025-11-14,26-35,Médio
101,Cliente 101,cliente101@example.com,(11) 948334882,57.0,245.16789167463887,2025-09-21,active,2024-06-10,51-65,Médio
102,Cliente 102,N/A,(11) 962441466,58.0,971.6811431012231,2025-07-18,active,2025-08-15,51-65,Alto
103,Cliente 103,cliente103@example.com,(11) 959583876,39.0,189.16718318239487,2025-04-17,inactive,2025-02-22,36-50,Médio
104,Cliente 104,cliente104@example.com,(11) 996117865,28.0,855.8412424358834,2025-09-19,pending,2024-12-06,26-35,Alto
105,Cliente 105,cliente105@example.com,(11) 973203558,40.0,497.35507788355443,2025-08-21,inactive,2025-04-12,36-50,Médio
106,Cliente 106,cliente106@example.com,(11) 947407771,18.0,254.75876365914527,2025-05-01,active,2024-05-11,18-25,Médio
107,Cliente 107,cliente107@example.com,(11) 993122310,63.0,872.0424022597863,2025-01-14,active,2023-12-17,51-65,Alto
108,Cliente 108,cliente108@example.com,(11) 937009224,54.0,450.85220245263883,2025-04-13,inactive,2025-05-08,51-65,Médio
109,Cliente 109,cliente109@example.com,(11) 961327755,38.0,519.6691803903933,2025-07-22,inactive,2025-06-18,36-50,Alto
110,Cliente 110,cliente110@example.com,(11) 989018913,43.0,365.64103570576805,2025-11-01,active,2025-02-16,36-50,Médio
111,Cliente 111,cliente111@example.com,(11) 917130144,63.0,597.0213429205781,2025-03-29,inactive,2024-02-05,51-65,Alto
112,Cliente 112,cliente112@example.com,(11) 914545583,53.0,171.88863385917253,2025-03-02,active,2025-10-15,51-65,Médio
113,Cliente 113,cliente113@example.com,(11) 964079037,71.0,397.1707212852431,2025-08-29,inactive,2025-03-18,65+,Médio
114,Cliente 114,cliente114@example.com,(11) 964474455,40.0,969.7181991119346,2025-05-24,inactive,2025-02-07,36-50,Alto
115,Cliente 115,cliente115@example.com,(11) 951542436,74.0,265.55209837411627,2025-02-08,inactive,2024-05-21,65+,Médio
116,Cliente 116,cliente116@example.com,(11) 956626914,18.0,660.1692978958793,2025-01-15,active,2025-02-27,18-25,Alto
117,Cliente 117,cliente117@example.com,(11) 963933927,71.0,331.93816358244794,2025-03-21,inactive,2025-08-29,65+,Médio
118,Cliente 118,cliente118@example.com,(11) 962453338,72.0,775.7383944297346,2025-05-16,active,2025-04-28,65+,Alto
119,Cliente 119,cliente119@example.com,(11) 924881728,68.0,139.56492411116633,2025-10-22,active,2025-04-09,65+,Médio
120,Cliente 120,cliente120@example.com,(11) 944045666,57.0,970.1228346277593,2025-08-16,inactive,2024-01-12,51-65,Alto
121,Cliente 121,cliente121@example.com,(11) 922722094,32.0,459.25164596980284,2025-05-25,inactive,2024-08-05,26-35,Médio
122,Cliente 122,cliente122@example.com,(11) 932178434,38.0,243.68995871299933,2025-11-03,active,2025-09-20,36-50,Médio
123,Cliente 123,cliente123@example.com,(11) 956321408,64.0,82.76177985671254,2025-11-14,active,2025-06-09,51-65,Baixo
124,Cliente 124,cliente124@example.com,N/A,49.0,178.06032603666534,2025-03-28,pending,2025-04-04,36-50,Médio
125,Cliente 125,cliente125@example.com,(11) 984023414,70.0,524.5762090704575,2025-09-19,active,2024-12-22,65+,Alto
126,Cliente 126,cliente126@example.com,(11) 936063245,26.0,343.63314466697346,2025-07-10,pending,2024-01-16,26-35,Médio
127,Cliente 127,cliente127@example.com,(11) 949443226,27.0,830.5945322237834,2025-08-17,pending,2025-05-16,26-35,Alto
128,Cliente 128,cliente128@example.com,(11) 983619289,49.0,436.57864842518785,2025-12-10,pending,2024-04-12,36-50,Médio
129,Cliente 129,cliente129@example.com,(11) 917887739,74.0,256.2271298617536,2025-09-10,inactive,2024-09-21,65+,Médio
130,Cliente 130,cliente130@example.com,(11) 970736972,70.0,620.9735367379898,2025-06-29,inactive,2024-09-08,65+,Alto
131,Cliente 131,cliente131@example.com,(11) 971071026,43.0,709.7094447165914,2024-12-27,active,2024-08-27,36-50,Alto
132,Cliente 132,cliente132@example.com,(11) 910769598,58.0,175.37148882194037,2025-02-19,pending,2023-12-23,51-65,Médio
133,Cliente 133,cliente133@example.com,(11) 999178975,52.0,175.94302412543448,2025-03-29,inactive,2024-12-07,51-65,Médio
134,Cliente 134,cliente134@example.com,(11) 959007334,69.0,46.30471266420754,2025-09-22,inactive,2024-08-07,65+,Baixo
135,Cliente 135,cliente135@example.com,(11) 938433648,42.0,739.0379949149841,2025-03-19,inactive,2025-07-28,36-50,Alto
136,Cliente 136,cliente136@example.com,N/A,43.0,667.166482345587,2025-04-21,inactive,2024-12-10,36-50,Alto
137,Cliente 137,cliente137@example.com,(11) 913331068,28.0,479.88456699231574,2025-01-25,inactive,2025-06-11,26-35,Médio
138,Cliente 138,cliente138@example.com,(11) 946810847,55.0,845.7287444795052,2025-02-04,pending,2024-05-03,51-65,Alto
139,Cliente 139,N/A,(11) 944428803,19.0,807.6134514205527,2025-02-14,pending,2025-02-28,18-25,Alto
140,Cliente 140,cliente140@example.com,(11) 915654237,24.0,589.5008207527846,2024-12-20,pending,2024-08-27,18-25,Alto
141,Cliente 141,cliente141@example.com,(11) 971553124,35.0,869.5885677081261,2025-05-13,pending,2024-12-02,26-35,Alto
142,Cliente 142,N/A,(11) 955816038,44.0,213.78279793640056,2025-10-11,active,2024-02-27,36-50,Médio
143,Cliente 143,cliente143@example.com,(11) 927750764,51.0,120.8004232037506,2025-10-24,pending,2024-06-23,51-65,Médio
144,Cliente 144,cliente144@example.com,(11) 946898446,44.0,277.0521154018197,2025-08-07,inactive,2024-07-19,36-50,Médio
145,Cliente 145,cliente145@example.com,(11) 933841962,49.0,66.5159875284217,2025-05-03,pending,2024-05-12,36-50,Baixo
146,Cliente 146,cliente146@example.com,(11) 976834972,60.0,535.8578327210217,2025-03-08,active,2025-04-06,51-65,Alto
147,Cliente 147,cliente147@example.com,(11) 953156515,76.0,937.2396353720119,2025-02-21,inactive,2024-07-20,65+,Alto
148,Cliente 148,cliente148@example.com,(11) 932993420,49.0,48.95010526182455,2025-03-03,pending,2024-03-22,36-50,Baixo
149,Cliente 149,cliente149@example.com,(11) 972190751,76.0,130.88881486992653,2025-03-10,pending,2025-09-30,65+,Médio
150,Cliente 150,cliente150@example.com,(11) 931970758,68.0,457.67703800060093,2025-08-27,pending,2025-03-05,65+,Médio
151,Cliente 151,cliente151@example.com,(11) 946513466,71.0,934.5362673526258,2025-07-19,inactive,2024-12-17,65+,Alto
152,Cliente 152,cliente152@example.com,(11) 941288562,41.0,322.994543926983,2025-09-04,inactive,2025-12-02,36-50,Médio
153,Cliente 153,cliente153@example.com,(11) 931351509,42.0,512.1624606015084,2025-09-30,active,2025-05-15,36-50,Alto
154,Cliente 154,cliente154@example.com,(11) 933484187,49.0,51.15713045988818,2025-08-12,inactive,2025-07-13,36-50,Baixo
155,Cliente 155,cliente155@example.com,(11) 971777469,69.0,156.85976895246796,2025-11-12,inactive,2025-12-07,65+,Médio
156,Cliente 156,cliente156@example.com,(11) 946093880,23.0,986.7638217292584,2025-06-07,pending,2025-05-31,18-25,Alto
157,Cliente 157,cliente157@example.com,N/A,70.0,965.467509471685,2024-12-13,inactive,2025-03-04,65+,Alto
158,Cliente 158,cliente158@example.com,(11) 991752859,41.0,14.89058112506552,2024-12-23,pending,2024-09-04,36-50,Baixo
159,Cliente 159,cliente159@example.com,(11) 954066131,50.0,952.2936675690066,2025-02-27,pending,2025-08-21,36-50,Alto
160,Cliente 160,cliente160@example.com,N/A,66.0,642.7287384373453,2025-05-31,inactive,2025-03-16,65+,Alto
161,Cliente 161,cliente161@example.com,(11) 945563453,46.0,869.2391115748219,2025-07-09,active,2025-07-02,36-50,Alto
162,Cliente 162,cliente162@example.com,(11) 944755914,60.0,460.1924570775205,2025-06-23,active,2024-09-08,51-65,Médio
163,Cliente 163,cliente163@example.com,(11) 960873983,39.0,520.4400682934577,2025-01-11,inactive,2025-08-29,36-50,Alto
164,Cliente 164,cliente164@example.com,(11) 963892568,49.0,493.958114454351,2025-11-01,active,2024-01-19,36-50,Médio
165,Cliente 165,cliente165@example.com,(11) 933637222,45.0,670.1956149706433,2025-10-10,pending,2024-06-04,36-50,Alto
166,Cliente 166,cliente166@example.com,(11) 912484413,67.0,148.25474220874978,2025-11-19,pending,2025-03-05,65+,Médio
167,Cliente 167,cliente167@example.com,(11) 980016224,38.0,39.67385397395117,2024-12-17,inactive,2024-01-25,36-50,Baixo
168,Cliente 168,cliente168@example.com,(11) 949449976,66.0,314.850642175279,2025-09-28,active,2025-07-03,65+,Médio
169,Cliente 169,cliente169@example.com,(11) 999583549,24.0,707.6339551092802,2025-10-25,active,2024-12-26,18-25,Alto
170,Cliente 170,cliente170@example.com,(11) 912235000,34.0,209.83491760171887,2025-07-05,pending,2024-10-04,26-35,Médio
171,Cliente 171,cliente171@example.com,(11) 933685747,37.0,676.6981089916682,2025-02-02,inactive,2025-07-25,36-50,Alto
172,Cliente 172,cliente172@example.com,(11) 947876684,58.0,970.2129256461977,2025-08-16,active,2024-08-28,51-65,Alto
173,Cliente 173,cliente173@example.com,(11) 982931048,66.0,102.9617086315242,2025-09-03,inactive,2025-08-02,65+,Médio
174,Cliente 174,cliente174@example.com,(11) 939859174,37.0,675.876097042875,2025-06-28,active,2025-09-16,36-50,Alto
175,Cliente 175,cliente175@example.com,(11) 946102853,71.0,449.31271711152544,2025-02-25,pending,2024-01-24,65+,Médio
176,Cliente 176,cliente176@example.com,(11) 956159303,39.0,869.4608318337303,2025-07-09,pending,2025-06-12,36-50,Alto
177,Cliente 177,cliente177@example.com,(11) 922195226,49.0,185.37829155291206,2025-12-05,inactive,2024-12-09,36-50,Médio
178,Cliente 178,N/A,(11) 957936136,78.0,695.6996927039029,2025-05-30,pending,2025-08-05,65+,Alto
179,Cliente 179,cliente179@example.com,(11) 979062973,57.0,839.7341367516291,2025-10-17,active,2025-04-10,51-65,Alto
180,Cliente 180,cliente180@example.com,(11) 924421668,49.0,945.168077279283,2025-01-25,pending,2024-04-20,36-50,Alto
181,Cliente 181,cliente181@example.com,(11) 931200096,24.0,686.4155480067493,2025-06-02,inactive,2024-05-13,18-25,Alto
182,Cliente 182,cliente182@example.com,(11) 993375337,18.0,502.203016368343,2025-10-26,inactive,2024-02-11,18-25,Alto
183,Cliente 183,cliente183@example.com,(11) 933234510,49.0,621.6687677992018,2025-07-17,inactive,2024-11-29,36-50,Alto
184,Cliente 184,cliente184@example.com,(11) 961715898,30.0,870.215934633931,2025-03-12,active,2025-07-16,26-35,Alto
185,Cliente 185,cliente185@example.com,(11) 955968757,47.0,574.9036491724414,2025-07-08,active,2024-10-05,36-50,Alto
186,Cliente 186,cliente186@example.com,(11) 910061087,40.0,40.08318909986849,2025-05-24,active,2024-03-24,36-50,Baixo
187,Cliente 187,cliente187@example.com,(11) 990705119,68.0,931.639208551908,2025-08-08,active,2023-12-17,65+,Alto
188,Cliente 188,cliente188@example.com,(11) 976653416,76.0,692.6314835212455,2025-02-10,active,2024-08-30,65+,Alto
189,Cliente 189,cliente189@example.com,(11) 995382256,73.0,679.748251919474,2025-02-21,pending,2024-09-22,65+,Alto
190,Cliente 190,cliente190@example.com,(11) 920274621,36.0,223.51840087374,2025-10-09,active,2024-08-18,36-50,Médio
191,Cliente 191,cliente191@example.com,(11) 923022704,79.0,662.2966155303307,2025-01-21,active,2025-02-21,65+,Alto
192,Cliente 192,cliente192@example.com,(11) 926816569,49.0,399.9257615976169,2025-06-19,pending,2025-07-22,36-50,Médio
193,Cliente 193,cliente193@example.com,(11) 917654909,49.0,654.7206472710772,2025-08-18,active,2025-04-06,36-50,Alto
194,Cliente 194,cliente194@example.com,(11) 947814054,46.0,115.52710000491082,2025-05-22,inactive,2025-02-13,36-50,Médio
195,Cliente 195,cliente195@example.com,(11) 994302960,66.0,661.2668515570057,2025-01-25,active,2025-11-17,65+,Alto
196,Cliente 196,cliente196@example.com,(11) 925421040,62.0,999.4195885129599,2025-11-11,active,2025-10-03,51-65,Alto
197,Cliente 197,cliente197@example.com,(11) 934210512,46.0,57.72991847195047,2025-08-21,inactive,2024-03-27,36-50,Baixo
198,Cliente 198,cliente198@example.com,(11) 982073914,47.0,977.4024423791042,2024-12-12,inactive,2025-08-22,36-50,Alto
199,Cliente 199,cliente199@example.com,(11) 977922032,33.0,412.8388811156419,2025-01-21,inactive,2024-12-13,26-35,Médio
200,Cliente 200,cliente200@example.com,(11) 943779713,57.0,872.0459158338865,2025-01-02,inactive,2025-02-12,51-65,Alto
201,Cliente 201,cliente201@example.com,(11) 921506305,36.0,784.5616292176908,2025-10-06,active,2024-08-28,36-50,Alto
202,Cliente 202,N/A,(11) 930560091,35.0,571.3460983768011,2025-09-28,inactive,2025-09-12,26-35,Alto
203,Cliente 203,cliente203@example.com,(11) 996881845,18.0,741.0647171588132,2025-10-28,inactive,2024-06-30,18-25,Alto
204,Cliente 204,cliente204@example.com,(11) 917734102,31.0,879.7304056883344,2025-03-27,pending,2024-02-20,26-35,Alto
205,Cliente 205,cliente205@example.com,(11) 915674719,68.0,410.09891843452266,2025-07-11,inactive,2023-12-17,65+,Médio
206,Cliente 206,cliente206@example.com,(11) 918658144,64.0,333.7628299476063,2025-07-10,inactive,2024-02-18,51-65,Médio
207,Cliente 207,cliente207@example.com,(11) 950163712,67.0,670.9174517079489,2024-12-14,pending,2025-06-03,65+,Alto
208,Cliente 208,cliente208@example.com,(11) 999386386,19.0,809.767482521846,2025-04-22,pending,2024-06-08,18-25,Alto
209,Cliente 209,cliente209@example.com,(11) 995447809,71.0,764.6622834288496,2025-10-22,active,2025-04-14,65+,Alto
210,Cliente 210,cliente210@example.com,(11) 998917675,45.0,799.8355123700481,2025-02-09,pending,2025-07-27,36-50,Alto
211,Cliente 211,cliente211@example.com,(11) 954165849,66.0,441.2274816648037,2025-03-25,active,2025-01-01,65+,Médio
212,Cliente 212,cliente212@example.com,(11) 982586911,67.0,819.6558740132714,2025-01-31,pending,2025-06-15,65+,Alto
213,Cliente 213,cliente213@example.com,(11) 978227907,47.0,129.00696481690235,2025-08-09,pending,2023-12-31,36-50,Médio
214,Cliente 214,cliente214@example.com,(11) 988826934,55.0,549.044206981241,2025-04-11,active,2024-07-27,51-65,Alto
215,Cliente 215,cliente215@example.com,(11) 959905866,68.0,15.701073893140354,2025-11-12,pending,2025-05-23,65+,Baixo
216,Cliente 216,cliente216@example.com,(11) 991121402,21.0,331.33997160126756,2025-08-12,active,2024-05-18,18-25,Médio
217,Cliente 217,cliente217@example.com,(11) 950657662,49.0,372.7969195226839,2025-08-09,pending,2025-06-03,36-50,Médio
218,Cliente 218,cliente218@example.com,(11) 916659908,25.0,402.21096469316285,2025-11-05,inactive,2025-12-07,18-25,Médio
219,Cliente 219,cliente219@example.com,(11) 941378291,46.0,698.5125346229636,2025-06-25,pending,2025-04-19,36-50,Alto
220,Cliente 220,cliente220@example.com,(11) 973020641,72.0,394.6725202576423,2025-08-10,active,2024-01-19,65+,Médio
221,Cliente 221,cliente221@example.com,(11) 946634821,56.0,454.2066863963054,2024-12-20,pending,2025-02-04,51-65,Médio
222,Cliente 222,cliente222@example.com,(11) 929433354,20.0,245.1686895655842,2025-11-07,active,2024-06-11,18-25,Médio
223,Cliente 223,N/A,N/A,49.0,379.5192737130467,2025-09-16,active,2025-10-17,36-50,Médio
